Comment,Designator,Footprint,LCSC Part #,Total (USD)
220nF Unpolarized capacitor,C1,C_0603_1608Metric,C21120,Price too small; neglilegeble
16-219A/T2D-AR2T1QY/3T,D1,LED_0402_1005Metric,"C74342
",Price too small; neglilegeble
LG R971-KN-1 Light emitting diode,D2,LED_0805_2012Metric,C5456999,Price too small; neglilegeble
100Î© Resistor,"R1, R2",R_0603_1608Metric,C14675,Price too small; neglilegeble
NT3H2111W0FHKH,U1,QFN8P50_160X160X50L40X20N,C710403,$4.41
,,,,
Other Stuff,,,,
PCB ,N/A,N/A,N/A,$18
Shipping,N/A,N/A,N/A,$5.52
Total,,,,$28.14